strategy,minimum_high_need_share,selected_n,predicted_pressure_sum,observed_pressure_sum,observed_pressure_mean,recall_at_20,high_equity_need_share,mean_deprivation_disparity,mean_ethnicity_disparity,mean_age_disparity,mean_sex_disparity
Equity-constrained forecast,0.0,20,2.061767022682512,2.200676766710601,0.11003383833553,0.6,0.35,0.0151806641526637,0.0216710903771925,0.0726533723365071,0.0328927116280283
Equity-constrained forecast,0.1,20,2.061767022682512,2.200676766710601,0.11003383833553,0.6,0.35,0.0151806641526637,0.0216710903771925,0.0726533723365071,0.0328927116280283
Equity-constrained forecast,0.2,20,2.061767022682512,2.200676766710601,0.11003383833553,0.6,0.35,0.0151806641526637,0.0216710903771925,0.0726533723365071,0.0328927116280283
Equity-constrained forecast,0.3,20,2.061767022682512,2.200676766710601,0.11003383833553,0.6,0.35,0.0151806641526637,0.0216710903771925,0.0726533723365071,0.0328927116280283
Equity-constrained forecast,0.4,20,2.0560396291412704,2.2152766520049147,0.1107638326002457,0.6,0.4,0.0165241541044611,0.0235801815910573,0.0773907713742679,0.0358471847227247
Equity-constrained forecast,0.5,20,2.033708911283888,2.1941943757862608,0.109709718789313,0.6,0.5,0.0185588582537354,0.0252652215238726,0.0857531746923249,0.0415576400982333
Persistence,,20,2.238213363902372,2.252136836938712,0.1126068418469355,0.65,0.3,0.0125194016585974,0.0174621371795011,0.062419367153098,0.0321118976621806
Legacy composite comparator,,20,15.892198099481284,0.770779719617734,0.0385389859808866,0.15,0.75,0.0397830644536625,0.0723765654680128,0.1078542125471964,0.0595504962824835
Forecast risk only,,20,2.061767022682512,2.200676766710601,0.11003383833553,0.6,0.35,0.0151806641526637,0.0216710903771925,0.0726533723365071,0.0328927116280283
