strategy,minimum_high_need_share,selected_n,predicted_pressure_sum,observed_pressure_sum,observed_pressure_mean,recall_at_20,high_equity_need_share,mean_deprivation_disparity,mean_ethnicity_disparity,mean_age_disparity,mean_sex_disparity
Equity-constrained forecast,0.0,20,2.061767022682512,2.200676766710601,0.11003383833553004,0.6,0.35,0.015180664152663784,0.021671090377192566,0.07265337233650712,0.03289271162802836
Equity-constrained forecast,0.1,20,2.061767022682512,2.200676766710601,0.11003383833553004,0.6,0.35,0.015180664152663784,0.021671090377192566,0.07265337233650712,0.03289271162802836
Equity-constrained forecast,0.2,20,2.061767022682512,2.200676766710601,0.11003383833553004,0.6,0.35,0.015180664152663784,0.021671090377192566,0.07265337233650712,0.03289271162802836
Equity-constrained forecast,0.3,20,2.061767022682512,2.200676766710601,0.11003383833553004,0.6,0.35,0.015180664152663784,0.021671090377192566,0.07265337233650712,0.03289271162802836
Equity-constrained forecast,0.4,20,2.0560396291412704,2.2152766520049147,0.11076383260024573,0.6,0.4,0.016524154104461185,0.02358018159105734,0.07739077137426795,0.03584718472272474
Equity-constrained forecast,0.5,20,2.033708911283888,2.1941943757862608,0.10970971878931304,0.6,0.5,0.018558858253735412,0.02526522152387265,0.08575317469232496,0.04155764009823336
Persistence,,20,2.2382133639023714,2.252136836938712,0.11260684184693559,0.65,0.3,0.012519401658597431,0.017462137179501108,0.06241936715309808,0.032111897662180686
Legacy composite comparator,,20,15.892198099481284,0.770779719617734,0.038538985980886696,0.15,0.75,0.03978306445366255,0.07237656546801284,0.10785421254719649,0.05955049628248358
Forecast risk only,,20,2.061767022682512,2.200676766710601,0.11003383833553004,0.6,0.35,0.015180664152663784,0.021671090377192566,0.07265337233650712,0.03289271162802836
