feature_set,model,feature_count,mae,rmse,r2,spearman,precision_at_10,recall_at_10,ndcg_at_10,precision_at_20,recall_at_20,ndcg_at_20,precision_at_50,recall_at_50,ndcg_at_50
RTT history,Random Forest,21,0.006825936003809989,0.01429662876911124,0.6385102417886561,0.8351755151386716,0.6333333333333333,0.6333333333333333,0.8002444610290786,0.5722222222222223,0.5722222222222223,0.7856605355023987,0.5622222222222223,0.5622222222222223,0.795296536534743
RTT plus diagnostics,Random Forest,22,0.006837213114199352,0.014310624451767447,0.6378021346649903,0.8352429739370905,0.6444444444444444,0.6444444444444444,0.8048868321917024,0.5777777777777777,0.5777777777777777,0.7797278328349173,0.5555555555555556,0.5555555555555556,0.7926773698757814
RTT plus full operational context,Random Forest,25,0.006844034069210802,0.014340762974904673,0.6362749331684052,0.8355812621665301,0.6222222222222222,0.6222222222222222,0.7995278044446775,0.5777777777777778,0.5777777777777778,0.7838104697198944,0.5555555555555556,0.5555555555555556,0.7957899779524259
