analysis,training_start,n_development,mae,rmse,r2,spearman,precision_at_10,recall_at_10,ndcg_at_10,precision_at_20,recall_at_20,ndcg_at_20,precision_at_50,recall_at_50,ndcg_at_50
Primary training window,2022-04-01,95846,0.006844034069210802,0.014340762974904673,0.6362749331684052,0.8355812621665301,0.6222222222222222,0.6222222222222222,0.7995278044446775,0.5777777777777778,0.5777777777777778,0.7838104697198944,0.5555555555555556,0.5555555555555556,0.7957899779524259
Post-April-2023 training sensitivity,2023-04-01,75993,0.0066712768411790425,0.01414518510735513,0.6461281740864626,0.8362886730022303,0.6111111111111112,0.6111111111111112,0.7981136498403363,0.5722222222222222,0.5722222222222222,0.7900916736825864,0.5666666666666668,0.5666666666666668,0.8049204175366249
