strategy,minimum_high_need_share,provider_service_cap,selected_n,predicted_pressure_sum,observed_pressure_sum,observed_pressure_mean,recall_at_20,high_equity_need_service_share,unique_provider_count,maximum_services_per_provider,mean_deprivation_disparity,mean_ethnicity_disparity,mean_age_disparity,mean_sex_disparity,decision_date,equity_snapshot_date,equity_available_date
Equity-constrained primary forecast,0.0,,20,2.2382133639023714,2.252136836938712,0.11260684184693559,0.65,0.25,14,6,0.013270934939648852,0.017491231477116384,0.0596015689802996,0.031754807591196955,2026-05-14,2026-03-29,2026-05-14
Equity-constrained primary forecast,0.1,,20,2.2382133639023714,2.252136836938712,0.11260684184693559,0.65,0.25,14,6,0.013270934939648852,0.017491231477116384,0.0596015689802996,0.031754807591196955,2026-05-14,2026-03-29,2026-05-14
Equity-constrained primary forecast,0.2,,20,2.2382133639023714,2.252136836938712,0.11260684184693559,0.65,0.25,14,6,0.013270934939648852,0.017491231477116384,0.0596015689802996,0.031754807591196955,2026-05-14,2026-03-29,2026-05-14
Equity-constrained primary forecast,0.3,,20,2.2352698382127123,2.3028094507127825,0.11514047253563912,0.65,0.3,14,6,0.013956293040674675,0.0170274582862601,0.06229267149115987,0.02936984750797485,2026-05-14,2026-03-29,2026-05-14
Equity-constrained primary forecast,0.4,,20,2.205817475151894,2.268769482703455,0.11343847413517275,0.6,0.4,15,4,0.016111568570755123,0.022753889362204554,0.06998221748413644,0.03598734549945719,2026-05-14,2026-03-29,2026-05-14
Equity-constrained primary forecast,0.5,,20,2.1592131366221587,2.137616407234781,0.10688082036173904,0.55,0.5,16,3,0.017601854815426025,0.025026952629282666,0.07567250547864303,0.039036628013038394,2026-05-14,2026-03-29,2026-05-14
Primary forecast only,,,20,2.2382133639023714,2.252136836938712,0.11260684184693559,0.65,0.25,14,6,0.013270934939648852,0.017491231477116384,0.0596015689802996,0.031754807591196955,2026-05-14,2026-03-29,2026-05-14
Selected learned model only,,,20,2.061767022682512,2.200676766710601,0.11003383833553004,0.6,0.25,17,4,0.013206318214645674,0.023466131280886263,0.07133847122050017,0.03895488472300588,2026-05-14,2026-03-29,2026-05-14
Legacy composite comparator,,,20,15.92454889533782,0.6745459775684137,0.033727298878420686,0.15,0.85,11,4,0.056989565587076366,0.07664348837116684,0.14044541039487338,0.08074629052322367,2026-05-14,2026-03-29,2026-05-14
